,id
320,MKR-USD
321,KRL-EUR
322,MPL-USD
323,WLUNA-EUR
324,SOL-BTC
325,MANA-EUR
326,BADGER-USDT
327,UMA-EUR
328,DESO-USDT
329,RNDR-USDT
330,DDX-USDT
331,AAVE-USD
332,LINK-USDT
333,RAD-USD
334,XYO-EUR
335,LINK-EUR
336,CGLD-USD
337,RAD-BTC
338,AUCTION-USDT
339,FET-USD
340,BTC-USD
341,XYO-USD
342,DASH-BTC
343,XLM-EUR
344,BNT-USD
345,NCT-USDT
346,STORJ-USD
347,TRU-USDT
348,AXS-USD
349,DNT-USD
350,PAX-USD
351,QUICK-USD
352,XLM-USDT
353,MIR-GBP
354,MDT-USDT
355,COVAL-USDT
356,ALCX-USDT
357,ZEC-USDC
358,MIR-USD
359,UST-EUR
360,ZEC-USD
361,XTZ-EUR
362,MCO2-USD
363,APE-EUR
364,UNFI-USD
365,CTX-USD
366,RARI-USD
367,BAT-USDC
368,BNT-BTC
369,CVC-USD
370,BAND-BTC
371,NU-GBP
372,FOX-USD
373,MIR-EUR
374,FX-USD
375,ZEN-USD
376,GALA-USDT
377,DOT-EUR
378,LINK-ETH
379,SUSHI-BTC
380,BAL-BTC
381,NKN-USD
382,REQ-BTC
383,NU-BTC
384,KEEP-USD
385,DESO-EUR
386,WBTC-BTC
387,LINK-GBP
388,VGX-USDT
389,INV-USD
390,UMA-GBP
391,ETH-DAI
392,SHIB-EUR
393,TRU-BTC
394,XYO-USDT
395,OMG-GBP
396,ICP-EUR
397,WCFG-USD
398,CGLD-EUR
399,QNT-USD
400,FIL-EUR
401,ALCX-EUR
402,RLY-USD
403,GYEN-USD
404,ADA-EUR
405,CRV-GBP
406,POWR-USDT
407,WLUNA-BTC
408,ETH-EUR
409,AVAX-BTC
410,YFI-BTC
411,MATIC-GBP
412,ETH-USDC
413,LOOM-USDC
414,BTC-EUR
415,AXS-BTC
416,ZRX-BTC
417,AGLD-USDT
418,ERN-USDT
419,SOL-ETH
420,BTC-USDT
421,REP-BTC
422,MASK-USD
423,VGX-USD
424,API3-USDT
425,STX-USDT
426,ENS-USD
427,CRV-EUR
428,DOT-BTC
429,WCFG-GBP
430,TRU-USD
431,IMX-USD
432,MATIC-USD
433,ASM-USD
434,LRC-BTC
435,USDC-EUR
436,NMR-USD
437,AXS-USDT
438,SHIB-USD
439,SUPER-USDT
440,POLY-USD
441,XTZ-BTC
442,RAD-GBP
443,FIL-GBP
444,ADA-ETH
445,SNT-USD
446,RBN-USD
447,IOTX-USD
448,FORTH-USD
449,ATOM-USD
450,BTRST-USDT
451,RLY-USDT
452,PLU-USD
453,TRB-USD
454,SOL-GBP
455,DOGE-EUR
456,BAL-USD
457,FORTH-BTC
458,XRP-EUR
459,XRP-GBP
460,XRP-USD
461,GNT-USDC
462,XRP-BTC
